#{"t_start": 1711908894.559071, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
120.0,2655,2.420093
225.0,2835,3.297355
110.0,1513,3.77449
80.0,1155,4.110381
55.0,1615,4.62646
125.0,2265,5.483474
155.0,2021,6.046979
120.0,2075,6.610477
55.0,1337,6.983507
45.0,1187,7.434735
45.0,1163,7.730799
210.0,2611,8.691523
100.0,1755,9.218788
290.0,3089,10.063434
40.0,1927,10.66714
310.0,2981,11.465408
90.0,1623,11.894173
50.0,1665,12.623232
120.0,1813,13.112461
160.0,2425,13.692652
15.0,1471,14.051024
270.0,2663,14.97418
155.0,2497,15.514599
225.0,2831,16.406424
210.0,3705,17.37139
260.0,2953,18.089328
195.0,2339,18.790174
35.0,2105,19.264135
815.0,4193,20.264701
125.0,1995,20.833288
135.0,1965,21.279
105.0,2107,21.891709
110.0,1551,22.231953
105.0,1615,22.579665
440.0,2827,23.247846
315.0,3045,24.613057
90.0,1229,25.446359
355.0,4625,30.486562
290.0,2153,33.376705
580.0,3411,37.82745
280.0,2151,40.543945
290.0,2153,43.236905
90.0,1343,44.123188
320.0,3505,46.136039
205.0,3743,48.169646
105.0,1811,49.281687
75.0,1189,50.028626
135.0,2313,51.32764
140.0,2007,52.445367
215.0,2481,53.890974
100.0,1595,54.783576
110.0,1949,56.121492
225.0,2437,57.704098
320.0,2877,59.542858
260.0,3225,61.489722
180.0,1643,62.421905
80.0,1823,63.44763
220.0,2795,65.097069
65.0,1081,65.748876
50.0,1679,66.777801
110.0,1935,68.083169
60.0,1479,68.970352
30.0,1813,70.001428
105.0,2021,71.230918
395.0,4189,73.6996
75.0,1281,74.436283
80.0,2257,75.722526
180.0,2317,77.03184
155.0,2339,78.349815
70.0,2185,79.596046
50.0,1385,80.37914
30.0,1637,81.459039
270.0,3029,83.159228
80.0,1361,83.937224
110.0,1493,84.784548
75.0,1821,85.831646
210.0,2371,87.157174
285.0,2571,88.595262
120.0,1975,89.717613
120.0,1913,90.801615
110.0,1845,92.735137
580.0,3411,97.402576
290.0,2153,100.185837
280.0,2151,102.840458
290.0,2153,105.547405
175.0,2465,107.154855
440.0,3421,109.090121
105.0,1913,110.128655
110.0,2151,111.372914
365.0,3853,113.522063
115.0,2507,114.949988
120.0,2057,116.093641
260.0,2531,117.661062
20.0,1907,118.796866
120.0,2205,120.037159
110.0,1177,120.703614
255.0,2823,122.498983
55.0,1733,123.660631
135.0,1811,124.822924
420.0,3861,127.185907
205.0,3399,129.184266
265.0,2475,138.347693
155.0,2769,153.592386
90.0,1529,162.123918
170.0,2091,173.599055
110.0,2021,184.640196
30.0,991,190.241073
130.0,2523,204.767006
80.0,2017,216.736617
120.0,1985,228.868504
360.0,2743,245.602843
75.0,1789,256.714199
350.0,3571,278.691347
135.0,2171,291.969091
265.0,3069,310.922507
445.0,3333,331.592865
40.0,1461,340.528453
155.0,2917,358.57581
110.0,1675,368.904731
220.0,3433,376.135192
150.0,3763,380.997032
235.0,1991,383.466368
390.0,4113,389.172753
150.0,3763,394.065308
155.0,3131,413.667491
365.0,2129,427.074695
110.0,1851,438.671463
70.0,1821,450.054603
115.0,2117,463.866683
310.0,2167,477.619507
30.0,1203,485.103837
145.0,1947,497.549237
495.0,3277,519.042395
185.0,2819,537.411383
140.0,1649,548.189361
105.0,2077,562.128588
45.0,1111,569.249681
200.0,1749,580.534647
105.0,1991,593.655514
40.0,1159,601.11333
25.0,1875,613.096587
75.0,1925,625.937998
100.0,1901,638.405492
110.0,2293,653.691703
160.0,2377,669.648971
395.0,2717,688.064488
110.0,2055,701.857745
80.0,1663,712.828448
110.0,2703,731.120317
50.0,1191,738.845368
145.0,2663,756.800014
110.0,1869,769.074057
160.0,2099,782.8837
5.0,973,789.216141
55.0,1385,798.402298
25.0,1349,807.28321
550.0,3871,833.892434
205.0,3949,860.391784
365.0,3419,883.195431
145.0,2721,901.160515
100.0,1531,911.192013
260.0,2715,929.09184
130.0,1901,933.625439
250.0,2719,937.094029
395.0,4713,943.015262
395.0,4713,949.128212
395.0,4713,955.632742
175.0,2345,971.094532
215.0,2369,986.764071
130.0,1875,999.095085
95.0,1529,1008.783018
185.0,3347,1031.154264
75.0,1637,1041.898797
40.0,1755,1053.466942
100.0,1973,1066.419166
655.0,3487,1090.005179
65.0,1581,1100.35807
450.0,4209,1128.563608
110.0,2113,1142.800009
110.0,2013,1156.218273
130.0,2373,1172.373677
105.0,2063,1186.279275
75.0,1961,1199.314406
50.0,1583,1209.904318
130.0,2031,1223.882878
330.0,2053,1237.690874
130.0,3927,1264.721116
115.0,2021,1278.062398
150.0,2303,1293.502753
410.0,2463,1310.090204
205.0,3089,1331.032453
105.0,1175,1338.854502
215.0,2459,1355.636935
30.0,1465,1365.684369
315.0,2887,1385.348204
170.0,1973,1398.941419
155.0,2001,1412.436294
165.0,2751,1431.325642
105.0,2143,1446.145877
50.0,1107,1453.40641
290.0,3373,1476.39241
200.0,2049,1490.451171
550.0,2855,1506.413956
80.0,1183,1508.128984
185.0,2759,1511.782252
200.0,3591,1516.550616
185.0,2759,1520.172935
195.0,2855,1539.641635
70.0,1815,1552.144061
150.0,2203,1567.192611
75.0,1855,1579.952792
175.0,1935,1593.328184
25.0,1211,1601.477962
245.0,3613,1627.098625
265.0,2497,1644.563099
235.0,2431,1660.984133
195.0,2691,1679.686943
230.0,3083,1700.750456
60.0,1561,4785.527593
410.0,3117,4817.529645
250.0,3107,4839.542437
40.0,1205,4846.350035
285.0,3451,4869.072564
5.0,913,4873.785081
370.0,3051,4886.598635
425.0,3587,4901.726406
300.0,3805,4920.397348
160.0,2889,4933.57874
250.0,2955,4948.340881
20.0,1571,4954.65653
20.0,1477,4961.108617
50.0,1133,4965.97675
325.0,3791,4982.879599
430.0,2569,4994.521656
380.0,3767,5011.580768
245.0,2403,5022.271186
170.0,2247,5032.276504
250.0,2559,5044.635683
300.0,3801,5064.700003
80.0,2081,5067.931362
280.0,2753,5070.545715
205.0,2175,5072.314846
145.0,1985,5074.166447
280.0,2753,5076.927046
205.0,1923,5087.583476
210.0,3027,5102.261448
240.0,3681,5119.069526
305.0,4013,5135.253657
15.0,1141,5140.669787
50.0,1483,5147.21795
105.0,1827,5155.590767
